"Timestamp","Jsem pracovník","Jsem z fakulty / odjinud","Jsem","O dění na UP jsem vnitřními informačními kanály informován(a)","Dění na UP ohledně vzniku Vysokoškolského ústavu (dále VŠÚ)","Informace získávám","Současné dění okolo VŠÚ na UP považuji za záležitost","Se způsobem, jakým se na UP řeší vznik VŠÚ, jsem","Na dění na UP ohledně vzniku VŠÚ","Na dění na UP ohledně etických kauz","K dění na UP ohledně vzniku VŠÚ","K dění na UP v etických kauzách","Svůj názor na dění na UP ohledně vzniku VŠÚ","Svůj názor na dění na UP ohledně etických kauz","Domníváte se, že některé etické kauzy je potřeba vyřešit před vznikem VŠÚ?","Současné etické kauzy na UP I","Současné etické kauzy na UP II","Dění okolo Etické komise UP","Etické podněty ohledně možného falšování dat považuji za","Etické podněty k chování, komunikaci, práci či rozhodování některých zaměstnanců či vedoucích pracovníků považuji za","Roli univerzitního ombudsmana/ky","Postoje a postup vedení UP v řešení vzniku VŠÚ považuji za","Postoje a postup vedení UP v řešení etických kauz považuji za","Způsob řešení problémů na UP ze strany vedení UP považuji za ","Univerzitu Palackého považuji z hlediska mé vědecké, pedagogické či jiné práce","Ad případný vznik VŠÚ na UP","Mám možnost se svobodně rozhodnout, zda ve VŠÚ chci pracovat nebo ne","Pokud bych měl možnost se rozhodnout, pak bych do VŠÚ ","O anketě jsem se dozvěděl(a) ","Anketu jsem uvítal(a)","Rád budu seznámen(a) s výsledky (budou zveřejněny na UP reflexi)","Comment"
"2020/02/24 12:06:30 AM GMT+1","PhD student(ka)","PřF","žena","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","Nedokážu posoudit, mám málo informací","z části účelové","nepovažuji za účelové","nemám vyhraněný názor","mírně zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nechtěl(a) vstoupit","z UP reflexe;z dŽurnálu","spíše ano","spíše ano","Vadí mi, že jako PhD student nemám dostatečné informace a spousta interních záležitostí ohledně etických podnětů a vzniku VŠÚ se ke mě dostává zprostředkovaně a jediný můj informační kanál je v podstatě dŽurnál, případně vedení katedry, kde působím (pominu-li, že oficialní vyjádření OBOU stran se poslední dobou už objevují konečně i na UP reflexi). Vzhledem k tomu, že jsem součástí PřF, které se případný vznik VŠÚ velmi dotýká, očekávala bych větší informovanost ze strany vedení UP nebo alespoň PřF. "
"2020/02/24 12:09:02 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nepovažuji za účelové","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","z dŽurnálu","spíše ano","ano",""
"2020/02/24 12:21:41 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF;bývalý/á student(ka) UP","muž","spíše nedostatečně","pravidelně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů","jen několika fakult","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","z části účelové","bych spíše uvítal(a)","zaujaté","mírně zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ne","možná vstoupil(a), ale ne za současných podmínek","z dŽurnálu","spíše ano","spíše ano","Ze současného dění na UP je mi nevolno. Ztratil jsem iluze, ztrácím chuť do práce a mám pocit beznaděje a zmaru. Aniž by se mne kdokoliv zeptal zda vůbec souhlasím se zřízením vsu, jsem nucen k volbě. Přejít na vsu, nebo zůstat na prf (ve vzduchoprázdnu). Je mi to velmi nepříjemné, protože v současné situaci neexistuje správná odpověď..."
"2020/02/24 12:39:46 AM GMT+1","PhD student(ka)","PřF","muž","spíše dostatečně","zběžně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","nemám vyhraněný názor","zaujaté","zaujaté","spíše netransparentní","nedovedu posoudit","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe;z dŽurnálu","ano","ano",""
"2020/02/24 12:51:44 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","bývalý/á student(ka) UP","nechci sdělit","spíše dostatečně","zběžně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů","nedovedu posoudit","nemám jasný názor","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych si nechal pro sebe","bych si nechal pro sebe","nedovedu posoudit","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nedovedu posoudit","nedovedu posoudit","bych spíše uvítal(a)","nedovedu posoudit","nedovedu posoudit","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše jsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","spíše ne","je mi to jedno",""
"2020/02/24 4:13:34 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","je zcela zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","z dŽurnálu","ano","ano",""
"2020/02/24 4:22:18 AM GMT+1","lektor(ka)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z jiných médií","celé univerzity","spíše spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","nedovedu posoudit","pokládám za velký problém","pokládám za dobře řešené","považuji za ne vždy korektní","z části účelové","nepovažuji za účelové","je spíše zbytečná","korektní","korektní","spíše transparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","ze sociálních sítí","spíše ne","ano",""
"2020/02/24 6:34:01 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","PřF","žena","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","spíše ano","možná vstoupil(a), ale ne za současných podmínek","z UP reflexe","ano","ano","Tento dotazník byl skvělým nápadem, neboť spousta lidí se bojí vyjádřit svůj názor pouze ze strachu, že si tím způsobí na svém pracovišti problémy a mohou tím ohrozit svoji pracovní pozici. Alespoň tímto způsobem je možnost vyjádřit svůj názor, děkuji!"
"2020/02/24 7:15:58 AM GMT+1","","osoba mimo UP, t.č. v ČR","muž","spíše nedostatečně","pravidelně sleduji","z www stránek UP;z dŽurnálu","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nedovedu posoudit","účelové","nemám vyhraněný názor","zaujaté","zaujaté","spíše netransparentní","nedovedu posoudit","nemám jasný názor","nevím / netýká se mne","nevím, netýká se mne","z dŽurnálu","spíše ano","ano",""
"2020/02/24 7:20:29 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","PřF","žena","spíše dostatečně","zběžně sleduji","z dŽurnálu;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","z oficiálního e-mailu/stránky UP","spíše ano","ano",""
"2020/02/24 7:28:54 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","rektorátu UP","muž","spíše dostatečně","zběžně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","nemám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych ponechal na vyjádření příslušných orgánů, tj. nechci vyjadřovat","spíše ano","pokládám za velký problém","nevím, o co jde / nesleduji","je tak obtížné rozklíčovat, že nemám jednoznačný názor","nedovedu posoudit","nedovedu posoudit","bych spíše uvítal(a)","mírně zaujaté","nedovedu posoudit","nedovedu posoudit","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","z dŽurnálu","ano","ano",""
"2020/02/24 7:29:10 AM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PřF","muž","spíše nedostatečně","zběžně sleduji","z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nedovedu posoudit","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","spíše ne","nevím, netýká se mne","ze sociálních sítí","spíše ano","ano",""
"2020/02/24 7:35:23 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","rektorátu UP","nechci sdělit","spíše nedostatečně","zběžně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","z části účelové","je spíše zbytečná","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z dŽurnálu","ano","ano","Nevzdávejte to!"
"2020/02/24 7:36:44 AM GMT+1","lektor(ka)","PřF","muž","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","","občas vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ne","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","z části účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","spíše ano","spíše nechtěl(a) vstoupit","z UP reflexe;z dŽurnálu","spíše ano","ano",""
"2020/02/24 7:36:46 AM GMT+1","PhD student(ka)","PřF","muž","nedostatečně","pravidelně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nepovažuji za účelové","je spíše zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ne","nechtěl(a) vstoupit","z dŽurnálu","spíše ano","spíše ano","Stydim se za vedeni UP a nechci se dozit doby, kdy se budu stydet za diplom z teto kdysi skvele instituce"
"2020/02/24 7:39:09 AM GMT+1","","bývalý zaměstnanec / bývalá zaměstnankyně UP","muž","spíše dostatečně","pravidelně sleduji","z www stránek UP;z dŽurnálu;ze sociálních sítí;z jiných médií","nedovedu posoudit","spíše nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nedovedu posoudit","nedovedu posoudit","nemám vyhraněný názor","mírně zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","nevím / netýká se mne","nevím, netýká se mne","z dŽurnálu","spíše ano","ano",""
"2020/02/24 7:41:48 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","spíše nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","spíše ano","nechtěl(a) vstoupit","z UP reflexe;z dŽurnálu","ano","ano",""
"2020/02/24 7:43:53 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","žena","dostatečně","zběžně sleduji","z www stránek UP;z www stránek mé fakulty;ze zpravodajských serverů","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","spíše ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","účelové","účelové","bych rozhodně uvítal(a)","nedovedu posoudit","nedovedu posoudit","nedovedu posoudit","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","rozhodně ano","možná vstoupil(a), ale ne za současných podmínek","z oficiálního e-mailu/stránky UP","ano","ano",""
"2020/02/24 7:45:13 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše dostatečně","zběžně sleduji","z www stránek UP;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","je spíše zbytečná","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","spíše ne","spíše nechtěl(a) vstoupit","od kolegy/ně","spíše ano","spíše ano",""
"2020/02/24 7:50:17 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","PřF","muž","spíše nedostatečně","zběžně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;ze zpravodajských serverů;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nechtěl(a) vstoupit","z UP reflexe;od kolegy/ně","ano","ano","Někteří vysoce postavení UP zneužívají pravomoc a jsou velmi nekorektní a mstiví"
"2020/02/24 7:50:40 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe","jen několika fakult","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za korektní","účelové","účelové","je zcela zbytečná","korektní","korektní","rozhodně transparentní","za místo bez problémů","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe","je mi to jedno","je mi to jedno",""
"2020/02/24 8:02:08 AM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","osoba mimo UP, t.č. v ČR","muž","vůbec","pravidelně sleduji","z dŽurnálu;ze zpravodajských serverů","celé univerzity","nemám jasný názor","nemám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","Nemam nazor","bych váhal(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nedovedu posoudit","je spíše zbytečná","nedovedu posoudit","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","nevím / netýká se mne","nevím, netýká se mne","z dŽurnálu","je mi to jedno","spíše ano",""
"2020/02/24 8:06:42 AM GMT+1","lektor(ka)","bývalý/á student(ka) UP","žena","spíše nedostatečně","pravidelně sleduji","z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nepovažuji za účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","jiného média","ano","ano",""
"2020/02/24 8:09:55 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","FZV;bývalý/á student(ka) UP","nechci sdělit","spíše dostatečně","pravidelně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych spíše uvítal(a)","nedovedu posoudit","mírně zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nechtěl(a) vstoupit","z dŽurnálu","ano","ano",""
"2020/02/24 8:11:31 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","PřF","muž","spíše dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z dŽurnálu;z jiných médií","celé univerzity","nespokojen(a)","názor si neustále tvořím","nemám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bez názoru","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nedovedu posoudit","nedovedu posoudit","nemám vyhraněný názor","mírně zaujaté","nedovedu posoudit","spíše netransparentní","nedovedu posoudit","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","spíše ne","spíše nechtěl(a) vstoupit","od kolegy/ně","ano","ano",""
"2020/02/24 8:16:24 AM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","nemám vyhraněný názor","zaujaté","zaujaté","spíše netransparentní","za místo bez problémů","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ano","ano",""
"2020/02/24 8:16:33 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","osoba mimo UP, t.č. v zahraničí","nechci sdělit","nezajímá mne","nezajímá mne","z www stránek UP","jen několika fakult","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za korektní","účelové","z části účelové","je zcela zbytečná","korektní","korektní","rozhodně transparentní","za místo bez problémů","rozhodně jsem pro vznik VŠÚ","rozhodně ano","nevím, netýká se mne","jiného média","ne","ne","Nejlepší statistika je ta, kterou si sám zfalšuji, že soudruhu Kvíto!"
"2020/02/24 8:17:36 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","PřF","žena","dostatečně","zběžně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z dŽurnálu;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","z oficiálního e-mailu/stránky UP","ne","ne","Je opravdu moudré a hospodárné chtít v Olomouci vybudovat další vědecko-výzkumný (vysokoškolský) ústav? Není jich tady už dost? "
